05:19:47 INFO  fir_decimate.c:119: Config succesfully loaded from daq_chain_config.ini
05:19:47 INFO  fir_decimate.c:120: Channel number: 9
05:20:27 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[110]
05:20:27 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[110]
05:20:27 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[111]
05:20:27 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[111]
05:20:27 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[112]
05:20:27 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[112]
05:20:27 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[113]
05:20:27 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[113]
05:20:28 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[114]
05:20:28 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[114]
05:20:28 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[115]
05:20:28 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[115]
05:20:28 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[116]
05:20:28 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[116]
05:20:28 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[117]
05:20:28 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[117]
05:20:29 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[118]
05:20:29 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[118]
05:20:29 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[119]
05:20:29 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[119]
05:20:29 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[120]
05:20:29 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[120]
05:20:30 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[121]
05:20:30 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[121]
05:20:30 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[122]
05:20:30 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[122]
05:20:30 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[123]
05:20:30 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[123]
05:20:30 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[124]
05:20:30 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[124]
05:20:31 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[125]
05:20:31 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[125]
05:20:31 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[126]
05:20:31 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[126]
05:20:31 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[127]
05:20:31 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[127]
05:20:31 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[128]
05:20:31 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[128]
05:20:32 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[129]
